Genus	10	11	1	12	13	14	15	16	17	18	19	20	21	22	2	23	24	25	26	27	28	29	30	31	32	33	3	34	35	36	4	5	6	7	8	9
Bacteroides	8	0	0	0	0	5	0	0	0	0	24	0	0	0	0	0	0	0	9	0	0	0	0	6	0	0	0	0	0	0	0	0	0	13	0	0
Lachnospira	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cytophaga	0	0	0	0	0	0	0	60	0	41	10	13	0	131	0	0	0	0	0	0	0	21	22	0	9	0	0	0	5	7	0	6	0	0	0	0
SM1A02	0	0	9	16	30	0	0	0	0	0	36	28	14	20	20	0	12	64	20	5	0	6	0	20	5	16	3	33	47	120	38	32	9	0	0	0
I-8	0	0	0	0	15	0	0	5	0	0	0	0	0	33	0	0	14	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0
Sphaerobacter	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Omnitrophus	35	0	6	0	18	0	10	34	0	0	30	75	48	27	0	38	42	11	0	13	0	0	7	0	7	6	0	7	9	0	0	0	0	0	0	0
Aquihabitans	154	0	30	0	0	82	52	0	0	0	0	0	0	0	0	0	39	0	29	0	0	0	35	0	0	12	0	0	0	0	130	0	20	0	0	46
Teretinema	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
Salinispira	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	21	0	0	25	0	31	0	0	0	0	0	0
Spirochaeta 2	43	103	0	41	0	0	10	16	0	11	0	0	0	0	30	0	0	25	0	25	0	26	3	19	35	0	14	79	28	143	11	26	7	31	21	0
Spirochaeta	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	70	30	0
Methanosarcina	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paludibaculum	335	73	118	0	97	67	14	0	0	0	0	0	51	141	40	0	0	79	53	0	44	37	41	63	0	56	64	0	30	81	130	196	90	95	97	132
Vulgatibacter	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	17	5	0	0	0	0	0	0	0
Phycisphaera	0	0	0	0	0	2	0	0	0	28	0	0	0	0	0	0	12	0	0	0	0	0	23	0	11	0	0	0	0	0	0	0	0	0	0	0
Tepidisphaera	0	0	41	12	0	0	0	0	0	0	17	0	0	64	0	0	11	0	0	0	0	0	0	0	0	9	15	0	0	0	0	21	0	0	13	0
AKYG587	0	0	32	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	25
CL500-3	390	146	104	156	18	82	68	0	0	0	0	0	0	55	18	0	0	13	0	0	0	0	20	16	33	39	102	32	29	0	202	208	40	175	69	83
Nitrospira	11	23	108	41	220	0	0	275	0	74	412	920	696	134	14	427	226	0	0	0	0	16	0	21	0	0	0	0	0	0	13	37	25	212	50	71
Dinghuibacter	0	0	0	37	18	8	14	0	0	50	0	0	16	116	0	0	18	0	0	26	0	0	0	0	0	0	0	0	0	12	0	0	5	47	18	0
Terrimonas	595	436	691	514	558	459	473	291	123	180	132	230	79	488	242	200	581	515	377	389	640	445	633	242	338	735	375	1132	575	495	878	1135	827	724	810	697
Niastella	0	5	69	23	39	98	0	0	0	101	42	560	143	34	0	48	67	0	0	0	0	37	0	16	30	12	55	31	24	32	40	0	58	69	76	54
Haliscomenobacter	0	0	0	0	39	0	3	27	16	0	20	39	12	20	14	11	14	0	0	0	0	0	0	0	0	0	45	0	0	0	0	30	0	7	0	0
Ferruginibacter	312	93	88	107	163	66	123	15	0	74	0	23	0	132	92	108	106	24	61	78	227	191	103	0	64	258	94	261	0	47	146	54	22	53	270	107
Aurantisolimonas	0	0	0	5	175	0	0	450	159	136	70	197	0	153	0	194	45	7	0	15	0	0	35	18	12	0	0	0	0	0	0	0	0	0	0	0
Sediminibacterium	44	60	18	179	42	72	15	14	0	0	8	0	0	47	39	0	23	32	73	45	0	19	66	0	0	50	17	25	107	0	23	15	192	36	147	39
Gynurincola	0	0	0	1	0	0	0	0	0	0	0	0	12	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	27	0	0	18	0
